Organism,Condition,rootFolder,trackFolder,trackFile,Tmin,Tmax,Objective
Sphere009,0,H:\2019 Monterey Trip\Vorticella_GM\2019_08_22_afterdinner,track2,track000.csv,0,200,4x
Sphere010,0,H:\2019 Monterey Trip\Vorticella_GM\2019_08_22_afterdinner,track4,track000.csv,0,0,4x
Sphere010,0,H:\2019 Monterey Trip\Vorticella_GM\2019_08_22_afterdinner,track5,track000.csv,0,0,4x
Sphere011,0,H:\2019 Monterey Trip\Vorticella_GM\2019_08_22_afterdinner,track6,track000.csv,0,0,4x
Sphere012,0,H:\2019 Monterey Trip\Vorticella_GM\2019_08_22_afterdinner,track7,track000.csv,0,0,4x
